muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
360.46982;0.02608;360.46982;0.05839;360.46982;0.1179;360.46982;0.15416;360.46982;0.18196;360.46982;0.108
360.92896;0.02508;360.92896;0.04633;360.92896;0.11872;360.92896;0.16001;360.92896;0.18011;360.92896;0.11715
361.38812;0.02919;361.38812;0.0654;361.38812;0.12662;361.38812;0.15884;361.38812;0.19244;361.38812;0.12662
361.8473;0.02291;361.8473;0.06108;361.8473;0.13271;361.8473;0.16006;361.8473;0.19732;361.8473;0.11211
362.30651;0.03279;362.30651;0.07218;362.30651;0.13891;362.30651;0.16418;362.30651;0.20153;362.30651;0.12432
362.76575;0.04601;362.76575;0.07208;362.76575;0.12844;362.76575;0.16504;362.76575;0.20442;362.76575;0.12643
363.22501;0.0323;363.22501;0.07116;363.22501;0.1384;363.22501;0.19389;363.22501;0.2094;363.22501;0.13073
363.6843;0.0234;363.6843;0.05954;363.6843;0.12856;363.6843;0.16249;363.6843;0.20584;363.6843;0.1211
364.14361;0.02856;364.14361;0.05914;364.14361;0.13798;364.14361;0.16478;364.14361;0.19848;364.14361;0.11988
364.60295;0.02565;364.60295;0.06194;364.60295;0.13835;364.60295;0.16787;364.60295;0.18775;364.60295;0.11907
365.06232;0.0323;365.06232;0.06677;365.06232;0.14317;365.06232;0.17555;365.06232;0.22366;365.06232;0.14418
365.52171;0.04298;365.52171;0.06919;365.52171;0.15791;365.52171;0.17712;365.52171;0.2121;365.52171;0.12597
365.98112;0.03897;365.98112;0.07898;365.98112;0.15088;365.98112;0.1801;365.98112;0.21634;365.98112;0.13108
366.44056;0.04604;366.44056;0.08071;366.44056;0.15554;366.44056;0.1892;366.44056;0.23272;366.44056;0.14251
366.90003;0.03056;366.90003;0.06791;366.90003;0.15481;366.90003;0.1926;366.90003;0.21993;366.90003;0.14261
367.35952;0.03458;367.35952;0.07401;367.35952;0.15289;367.35952;0.18672;367.35952;0.22552;367.35952;0.14232
