muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
439.378;0.11392;439.378;0.23217;439.378;0.54582;439.378;0.66194;439.378;0.87514;439.378;0.46008
439.84196;0.11399;439.84196;0.23071;439.84196;0.54863;439.84196;0.66651;439.84196;0.88687;439.84196;0.45833
440.30594;0.11355;440.30594;0.22956;440.30594;0.54808;440.30594;0.66546;440.30594;0.88382;440.30594;0.45559
440.76996;0.11281;440.76996;0.22868;440.76996;0.54407;440.76996;0.66234;440.76996;0.87751;440.76996;0.45617
441.23401;0.11208;441.23401;0.229;441.23401;0.54291;441.23401;0.65636;441.23401;0.86994;441.23401;0.45304
441.69809;0.11149;441.69809;0.2274;441.69809;0.54634;441.69809;0.66243;441.69809;0.87648;441.69809;0.45232
442.16221;0.11326;442.16221;0.22855;442.16221;0.5443;442.16221;0.66236;442.16221;0.88724;442.16221;0.45506
442.62635;0.11257;442.62635;0.22826;442.62635;0.54263;442.62635;0.65636;442.62635;0.87749;442.62635;0.45455
443.09052;0.11089;443.09052;0.22797;443.09052;0.54353;443.09052;0.66078;443.09052;0.87922;443.09052;0.45418
443.55473;0.11139;443.55473;0.22754;443.55473;0.54094;443.55473;0.65797;443.55473;0.87515;443.55473;0.45004
444.01897;0.11247;444.01897;0.22701;444.01897;0.5429;444.01897;0.66139;444.01897;0.88203;444.01897;0.45355
444.48323;0.11166;444.48323;0.22703;444.48323;0.54375;444.48323;0.66154;444.48323;0.88704;444.48323;0.45063
444.94753;0.11144;444.94753;0.22734;444.94753;0.54172;444.94753;0.65996;444.94753;0.88549;444.94753;0.45358
445.41186;0.1112;445.41186;0.2279;445.41186;0.54958;445.41186;0.66581;445.41186;0.89604;445.41186;0.45596
445.87623;0.1128;445.87623;0.22908;445.87623;0.54587;445.87623;0.66638;445.87623;0.89651;445.87623;0.45621
446.34062;0.1117;446.34062;0.22713;446.34062;0.54655;446.34062;0.66452;446.34062;0.89341;446.34062;0.45529
446.80505;0.11223;446.80505;0.22727;446.80505;0.54873;446.80505;0.66779;446.80505;0.89932;446.80505;0.45626
447.2695;0.11084;447.2695;0.22598;447.2695;0.54651;447.2695;0.66545;447.2695;0.89684;447.2695;0.45389
447.73399;0.11046;447.73399;0.22577;447.73399;0.54361;447.73399;0.66385;447.73399;0.89724;447.73399;0.45232
448.19851;0.11094;448.19851;0.22603;448.19851;0.54072;448.19851;0.66363;448.19851;0.89683;448.19851;0.45094
448.66306;0.10975;448.66306;0.22416;448.66306;0.53887;448.66306;0.65985;448.66306;0.89459;448.66306;0.45034
449.12765;0.11087;449.12765;0.22603;449.12765;0.54289;449.12765;0.66065;449.12765;0.89873;449.12765;0.45102
449.59226;0.10922;449.59226;0.22354;449.59226;0.53919;449.59226;0.65914;449.59226;0.8928;449.59226;0.44937
450.05691;0.1101;450.05691;0.22446;450.05691;0.53934;450.05691;0.66059;450.05691;0.894;450.05691;0.44903
450.52159;0.10991;450.52159;0.22282;450.52159;0.53435;450.52159;0.65216;450.52159;0.88567;450.52159;0.44445
450.9863;0.1101;450.9863;0.22317;450.9863;0.53614;450.9863;0.65442;450.9863;0.88622;450.9863;0.44346
451.45104;0.108;451.45104;0.22125;451.45104;0.52892;451.45104;0.64701;451.45104;0.87938;451.45104;0.44022
451.91581;0.10754;451.91581;0.21993;451.91581;0.52641;451.91581;0.64594;451.91581;0.86849;451.91581;0.43947
452.38062;0.10715;452.38062;0.21978;452.38062;0.52517;452.38062;0.64212;452.38062;0.86933;452.38062;0.43567
452.84546;0.10708;452.84546;0.21904;452.84546;0.52615;452.84546;0.6413;452.84546;0.87015;452.84546;0.43737
453.31033;0.10652;453.31033;0.21812;453.31033;0.52189;453.31033;0.63884;453.31033;0.86295;453.31033;0.43386
453.77523;0.10662;453.77523;0.2166;453.77523;0.52126;453.77523;0.63663;453.77523;0.86793;453.77523;0.43131
454.24016;0.10506;454.24016;0.21517;454.24016;0.51723;454.24016;0.63159;454.24016;0.8568;454.24016;0.42879
454.70513;0.10518;454.70513;0.21498;454.70513;0.51548;454.70513;0.62847;454.70513;0.8543;454.70513;0.42831
455.17012;0.10441;455.17012;0.21394;455.17012;0.51185;455.17012;0.6268;455.17012;0.8505;455.17012;0.42779
455.63515;0.1056;455.63515;0.2134;455.63515;0.51374;455.63515;0.62584;455.63515;0.85237;455.63515;0.42662
456.10022;0.10493;456.10022;0.21245;456.10022;0.51183;456.10022;0.62444;456.10022;0.84738;456.10022;0.42377
456.56531;0.10421;456.56531;0.21068;456.56531;0.50905;456.56531;0.62409;456.56531;0.84331;456.56531;0.42292
457.03044;0.10446;457.03044;0.2112;457.03044;0.50687;457.03044;0.62044;457.03044;0.84465;457.03044;0.42187
457.49559;0.103;457.49559;0.2089;457.49559;0.50449;457.49559;0.61874;457.49559;0.84248;457.49559;0.42027
457.96079;0.1017;457.96079;0.20736;457.96079;0.503;457.96079;0.61503;457.96079;0.83901;457.96079;0.41843
458.42601;0.10189;458.42601;0.20684;458.42601;0.50122;458.42601;0.61521;458.42601;0.84479;458.42601;0.41771
458.89126;0.1007;458.89126;0.20639;458.89126;0.5024;458.89126;0.61443;458.89126;0.84462;458.89126;0.41695
459.35655;0.10132;459.35655;0.20608;459.35655;0.50014;459.35655;0.6124;459.35655;0.84195;459.35655;0.41581
459.82187;0.10126;459.82187;0.20664;459.82187;0.49839;459.82187;0.61283;459.82187;0.84142;459.82187;0.41501
460.28723;0.10003;460.28723;0.20459;460.28723;0.49425;460.28723;0.60539;460.28723;0.83281;460.28723;0.41129
460.75261;0.1001;460.75261;0.20437;460.75261;0.49519;460.75261;0.6078;460.75261;0.83502;460.75261;0.4107
461.21803;0.10018;461.21803;0.20427;461.21803;0.49437;461.21803;0.60607;461.21803;0.83372;461.21803;0.40944
461.68348;0.09905;461.68348;0.20297;461.68348;0.49166;461.68348;0.60397;461.68348;0.83317;461.68348;0.40731
462.14896;0.0982;462.14896;0.20193;462.14896;0.49106;462.14896;0.6023;462.14896;0.83173;462.14896;0.4058
462.61448;0.09737;462.61448;0.20038;462.61448;0.48698;462.61448;0.59694;462.61448;0.82597;462.61448;0.40322
463.08002;0.09721;463.08002;0.19896;463.08002;0.48353;463.08002;0.59496;463.08002;0.81909;463.08002;0.4002
463.54561;0.09718;463.54561;0.19857;463.54561;0.48067;463.54561;0.58962;463.54561;0.81662;463.54561;0.39935
464.01122;0.09673;464.01122;0.19748;464.01122;0.47813;464.01122;0.58741;464.01122;0.81354;464.01122;0.39526
464.47686;0.09551;464.47686;0.19601;464.47686;0.47387;464.47686;0.58187;464.47686;0.80424;464.47686;0.39215
464.94254;0.095;464.94254;0.1952;464.94254;0.4713;464.94254;0.57803;464.94254;0.7979;464.94254;0.39082
465.40826;0.09417;465.40826;0.19327;465.40826;0.46821;465.40826;0.57476;465.40826;0.79359;465.40826;0.38642
465.874;0.09361;465.874;0.19141;465.874;0.46423;465.874;0.57238;465.874;0.79129;465.874;0.38571
466.33978;0.09309;466.33978;0.1903;466.33978;0.46061;466.33978;0.56659;466.33978;0.78262;466.33978;0.38224
466.80559;0.09125;466.80559;0.18772;466.80559;0.45697;466.80559;0.55965;466.80559;0.77374;466.80559;0.37887
467.27143;0.09072;467.27143;0.18667;467.27143;0.45097;467.27143;0.55458;467.27143;0.76628;467.27143;0.37452
467.73731;0.09034;467.73731;0.18474;467.73731;0.4501;467.73731;0.55232;467.73731;0.76379;467.73731;0.37324
468.20322;0.09007;468.20322;0.18395;468.20322;0.44634;468.20322;0.55038;468.20322;0.75928;468.20322;0.36999
468.66916;0.0885;468.66916;0.18246;468.66916;0.44234;468.66916;0.54422;468.66916;0.7521;468.66916;0.36708
469.13513;0.08785;469.13513;0.18085;469.13513;0.43902;469.13513;0.53938;469.13513;0.74679;469.13513;0.3643
469.60114;0.08771;469.60114;0.18002;469.60114;0.43534;469.60114;0.53602;469.60114;0.74081;469.60114;0.36212
470.06718;0.08743;470.06718;0.17863;470.06718;0.43451;470.06718;0.53531;470.06718;0.74198;470.06718;0.3613
470.53326;0.08641;470.53326;0.17766;470.53326;0.43234;470.53326;0.53214;470.53326;0.73762;470.53326;0.35937
470.99937;0.08589;470.99937;0.17718;470.99937;0.42951;470.99937;0.5288;470.99937;0.73385;470.99937;0.35575
471.46551;0.08518;471.46551;0.17558;471.46551;0.42638;471.46551;0.52608;471.46551;0.72783;471.46551;0.35378
471.93168;0.08457;471.93168;0.17445;471.93168;0.42216;471.93168;0.52092;471.93168;0.72323;471.93168;0.35153
472.39789;0.08466;472.39789;0.17366;472.39789;0.42093;472.39789;0.51903;472.39789;0.72168;472.39789;0.34963
472.86413;0.08289;472.86413;0.17186;472.86413;0.41767;472.86413;0.51527;472.86413;0.7182;472.86413;0.34667
473.3304;0.08205;473.3304;0.17026;473.3304;0.41424;473.3304;0.51045;473.3304;0.71365;473.3304;0.34398
473.79671;0.08192;473.79671;0.16969;473.79671;0.4115;473.79671;0.50804;473.79671;0.70947;473.79671;0.34181
474.26305;0.08226;474.26305;0.16923;474.26305;0.40994;474.26305;0.50577;474.26305;0.70595;474.26305;0.34067
474.72943;0.08185;474.72943;0.16762;474.72943;0.40798;474.72943;0.50245;474.72943;0.701;474.72943;0.33883
475.19584;0.08008;475.19584;0.16649;475.19584;0.40429;475.19584;0.49887;475.19584;0.69769;475.19584;0.33553
475.66228;0.08065;475.66228;0.16547;475.66228;0.40255;475.66228;0.49718;475.66228;0.69444;475.66228;0.33376
476.12875;0.07889;476.12875;0.16355;476.12875;0.39837;476.12875;0.49221;476.12875;0.68839;476.12875;0.32984
476.59526;0.07881;476.59526;0.16323;476.59526;0.39659;476.59526;0.48901;476.59526;0.68421;476.59526;0.32881
477.0618;0.07834;477.0618;0.1614;477.0618;0.39315;477.0618;0.48626;477.0618;0.68263;477.0618;0.32704
477.52838;0.07719;477.52838;0.16;477.52838;0.39058;477.52838;0.4809;477.52838;0.67443;477.52838;0.3228
477.99499;0.07665;477.99499;0.15851;477.99499;0.38627;477.99499;0.47561;477.99499;0.66638;477.99499;0.31957
478.46163;0.07625;478.46163;0.15716;478.46163;0.38378;478.46163;0.47284;478.46163;0.66309;478.46163;0.31846
478.92831;0.07595;478.92831;0.15555;478.92831;0.37963;478.92831;0.468;478.92831;0.65638;478.92831;0.31437
479.39502;0.07494;479.39502;0.15422;479.39502;0.3758;479.39502;0.46273;479.39502;0.65009;479.39502;0.31105
479.86177;0.07413;479.86177;0.1532;479.86177;0.37138;479.86177;0.45867;479.86177;0.64459;479.86177;0.30826
480.32854;0.07361;480.32854;0.15074;480.32854;0.36821;480.32854;0.45411;480.32854;0.63759;480.32854;0.30492
480.79536;0.07221;480.79536;0.14962;480.79536;0.36431;480.79536;0.45146;480.79536;0.63213;480.79536;0.30326
481.2622;0.07124;481.2622;0.14781;481.2622;0.36049;481.2622;0.44556;481.2622;0.62534;481.2622;0.29956
481.72908;0.07116;481.72908;0.14702;481.72908;0.35886;481.72908;0.44206;481.72908;0.62284;481.72908;0.2968
482.196;0.07082;482.196;0.14578;482.196;0.35639;482.196;0.43951;482.196;0.61659;482.196;0.29479
482.66295;0.07007;482.66295;0.14418;482.66295;0.35196;482.66295;0.43391;482.66295;0.61121;482.66295;0.29205
483.12993;0.06917;483.12993;0.14417;483.12993;0.34846;483.12993;0.43001;483.12993;0.60451;483.12993;0.2894
483.59695;0.06765;483.59695;0.14162;483.59695;0.34416;483.59695;0.42529;483.59695;0.59761;483.59695;0.28503
484.064;0.06738;484.064;0.14016;484.064;0.34165;484.064;0.42121;484.064;0.59238;484.064;0.28275
484.53108;0.06681;484.53108;0.13867;484.53108;0.33732;484.53108;0.41699;484.53108;0.58723;484.53108;0.28025
484.9982;0.06594;484.9982;0.13704;484.9982;0.33397;484.9982;0.41184;484.9982;0.57987;484.9982;0.27695
485.46535;0.06467;485.46535;0.13561;485.46535;0.33053;485.46535;0.40783;485.46535;0.57551;485.46535;0.27439
485.93254;0.06456;485.93254;0.13376;485.93254;0.32822;485.93254;0.40477;485.93254;0.56988;485.93254;0.27167
486.39976;0.06366;486.39976;0.13313;486.39976;0.32454;486.39976;0.40106;486.39976;0.56477;486.39976;0.2696
486.86702;0.06266;486.86702;0.13173;486.86702;0.32108;486.86702;0.39676;486.86702;0.55817;486.86702;0.26663
487.33431;0.06235;487.33431;0.13036;487.33431;0.31773;487.33431;0.3928;487.33431;0.55436;487.33431;0.26428
487.80163;0.06144;487.80163;0.12846;487.80163;0.31392;487.80163;0.38845;487.80163;0.54821;487.80163;0.26149
488.26899;0.06149;488.26899;0.12766;488.26899;0.31179;488.26899;0.38589;488.26899;0.54461;488.26899;0.25911
488.73639;0.06064;488.73639;0.12642;488.73639;0.30925;488.73639;0.3817;488.73639;0.53957;488.73639;0.25649
489.20381;0.06046;489.20381;0.12536;489.20381;0.30591;489.20381;0.37838;489.20381;0.53321;489.20381;0.25451
489.67128;0.06015;489.67128;0.12444;489.67128;0.30279;489.67128;0.37475;489.67128;0.52912;489.67128;0.25196
490.13877;0.05939;490.13877;0.1234;490.13877;0.29956;490.13877;0.37085;490.13877;0.5241;490.13877;0.24944
490.60631;0.05849;490.60631;0.12191;490.60631;0.29649;490.60631;0.36704;490.60631;0.51892;490.60631;0.24667
491.07387;0.05793;491.07387;0.12035;491.07387;0.29289;491.07387;0.36245;491.07387;0.51378;491.07387;0.24398
491.54147;0.05756;491.54147;0.11949;491.54147;0.2901;491.54147;0.35976;491.54147;0.50884;491.54147;0.24124
492.00911;0.05708;492.00911;0.11821;492.00911;0.28724;492.00911;0.35634;492.00911;0.50371;492.00911;0.23957
492.47678;0.05614;492.47678;0.11738;492.47678;0.28516;492.47678;0.3525;492.47678;0.49889;492.47678;0.23673
492.94448;0.05536;492.94448;0.11557;492.94448;0.28192;492.94448;0.34808;492.94448;0.49306;492.94448;0.23464
493.41222;0.05423;493.41222;0.11387;493.41222;0.27744;493.41222;0.34395;493.41222;0.48688;493.41222;0.231
493.88;0.05329;493.88;0.1126;493.88;0.27458;493.88;0.34019;493.88;0.48176;493.88;0.22847
494.34781;0.053;494.34781;0.11178;494.34781;0.27183;494.34781;0.33664;494.34781;0.47634;494.34781;0.22579
494.81565;0.05282;494.81565;0.10999;494.81565;0.26858;494.81565;0.33263;494.81565;0.47043;494.81565;0.22331
495.28353;0.05255;495.28353;0.10876;495.28353;0.26548;495.28353;0.3282;495.28353;0.46499;495.28353;0.22067
495.75144;0.05179;495.75144;0.10761;495.75144;0.2622;495.75144;0.32452;495.75144;0.45905;495.75144;0.21858
496.21939;0.05063;496.21939;0.10565;496.21939;0.25815;496.21939;0.3198;496.21939;0.45297;496.21939;0.2152
496.68738;0.04961;496.68738;0.10461;496.68738;0.25495;496.68738;0.31604;496.68738;0.44741;496.68738;0.21232
497.1554;0.04898;497.1554;0.10316;497.1554;0.2519;497.1554;0.31222;497.1554;0.44231;497.1554;0.20916
497.62345;0.04897;497.62345;0.10225;497.62345;0.24903;497.62345;0.30835;497.62345;0.43725;497.62345;0.20713
498.09154;0.0485;498.09154;0.10189;498.09154;0.24543;498.09154;0.30469;498.09154;0.43131;498.09154;0.20513
498.55967;0.04764;498.55967;0.1003;498.55967;0.24305;498.55967;0.30025;498.55967;0.42637;498.55967;0.2027
499.02783;0.04718;499.02783;0.09844;499.02783;0.23977;499.02783;0.29653;499.02783;0.42104;499.02783;0.19935
499.49602;0.04597;499.49602;0.09727;499.49602;0.23616;499.49602;0.29292;499.49602;0.41548;499.49602;0.19645
499.96425;0.04544;499.96425;0.09607;499.96425;0.23363;499.96425;0.28923;499.96425;0.41041;499.96425;0.1945
500.43252;0.04532;500.43252;0.09466;500.43252;0.23074;500.43252;0.28552;500.43252;0.40489;500.43252;0.19193
500.90082;0.04433;500.90082;0.09405;500.90082;0.22723;500.90082;0.28164;500.90082;0.39959;500.90082;0.19013
501.36915;0.04371;501.36915;0.09229;501.36915;0.22463;501.36915;0.27869;501.36915;0.39574;501.36915;0.18824
501.83752;0.0435;501.83752;0.09136;501.83752;0.22196;501.83752;0.27482;501.83752;0.39042;501.83752;0.18617
502.30593;0.04277;502.30593;0.08977;502.30593;0.21862;502.30593;0.27106;502.30593;0.38443;502.30593;0.18274
502.77437;0.04203;502.77437;0.08797;502.77437;0.21512;502.77437;0.26667;502.77437;0.37932;502.77437;0.18032
503.24285;0.04153;503.24285;0.08725;503.24285;0.21282;503.24285;0.26437;503.24285;0.37509;503.24285;0.1782
503.71136;0.04065;503.71136;0.08588;503.71136;0.20953;503.71136;0.26043;503.71136;0.36999;503.71136;0.17574
504.17991;0.04038;504.17991;0.08499;504.17991;0.20715;504.17991;0.25677;504.17991;0.36526;504.17991;0.17318
504.6485;0.0399;504.6485;0.08394;504.6485;0.20442;504.6485;0.2531;504.6485;0.36027;504.6485;0.1705
505.11712;0.03895;505.11712;0.08236;505.11712;0.20151;505.11712;0.24939;505.11712;0.35576;505.11712;0.1684
505.58577;0.03861;505.58577;0.08142;505.58577;0.19908;505.58577;0.2463;505.58577;0.3507;505.58577;0.16644
506.05446;0.03776;506.05446;0.08028;506.05446;0.1961;506.05446;0.24287;506.05446;0.34615;506.05446;0.16421
506.52319;0.03753;506.52319;0.07925;506.52319;0.19329;506.52319;0.2396;506.52319;0.34103;506.52319;0.16216
506.99195;0.03733;506.99195;0.07836;506.99195;0.19098;506.99195;0.23642;506.99195;0.33602;506.99195;0.16008
507.46075;0.03722;507.46075;0.07754;507.46075;0.18837;507.46075;0.23312;507.46075;0.33219;507.46075;0.15794
507.92958;0.03676;507.92958;0.07641;507.92958;0.1856;507.92958;0.23018;507.92958;0.32753;507.92958;0.1558
508.39845;0.03653;508.39845;0.07593;508.39845;0.1829;508.39845;0.22718;508.39845;0.32284;508.39845;0.15336
508.86736;0.03577;508.86736;0.07483;508.86736;0.18042;508.86736;0.22384;508.86736;0.31849;508.86736;0.1513
509.3363;0.03514;509.3363;0.07361;509.3363;0.17796;509.3363;0.2201;509.3363;0.31333;509.3363;0.14883
509.80528;0.0339;509.80528;0.07219;509.80528;0.17493;509.80528;0.21681;509.80528;0.30886;509.80528;0.14689
510.27429;0.03335;510.27429;0.07107;510.27429;0.17231;510.27429;0.21349;510.27429;0.30395;510.27429;0.14479
510.74334;0.0328;510.74334;0.07015;510.74334;0.16992;510.74334;0.21066;510.74334;0.29986;510.74334;0.14268
511.21243;0.03221;511.21243;0.06904;511.21243;0.16724;511.21243;0.20706;511.21243;0.29506;511.21243;0.14012
511.68155;0.0311;511.68155;0.06764;511.68155;0.16406;511.68155;0.2036;511.68155;0.29009;511.68155;0.13787
512.15071;0.03123;512.15071;0.06674;512.15071;0.16136;512.15071;0.20072;512.15071;0.28592;512.15071;0.13624
512.6199;0.03061;512.6199;0.06534;512.6199;0.1589;512.6199;0.19733;512.6199;0.28179;512.6199;0.13435
513.08913;0.02991;513.08913;0.06454;513.08913;0.15646;513.08913;0.19453;513.08913;0.27768;513.08913;0.13211
513.5584;0.02958;513.5584;0.06359;513.5584;0.15405;513.5584;0.19155;513.5584;0.27309;513.5584;0.12994
514.0277;0.02951;514.0277;0.06253;514.0277;0.15228;514.0277;0.18893;514.0277;0.26938;514.0277;0.12871
514.49704;0.02904;514.49704;0.06173;514.49704;0.14957;514.49704;0.18558;514.49704;0.26482;514.49704;0.12671
514.96641;0.02767;514.96641;0.06011;514.96641;0.14705;514.96641;0.18215;514.96641;0.26028;514.96641;0.12414
515.43582;0.02731;515.43582;0.05968;515.43582;0.14471;515.43582;0.17997;515.43582;0.25667;515.43582;0.12298
515.90527;0.02756;515.90527;0.05898;515.90527;0.14229;515.90527;0.177;515.90527;0.25229;515.90527;0.12114
516.37475;0.02683;516.37475;0.0578;516.37475;0.14009;516.37475;0.1739;516.37475;0.24814;516.37475;0.11904
516.84427;0.02682;516.84427;0.05713;516.84427;0.1389;516.84427;0.17184;516.84427;0.24561;516.84427;0.11761
517.31383;0.02633;517.31383;0.05641;517.31383;0.13682;517.31383;0.16944;517.31383;0.2415;517.31383;0.11583
517.78342;0.02617;517.78342;0.05577;517.78342;0.13425;517.78342;0.16677;517.78342;0.23843;517.78342;0.11408
518.25305;0.02619;518.25305;0.05503;518.25305;0.13246;518.25305;0.16435;518.25305;0.23448;518.25305;0.11297
518.72272;0.02499;518.72272;0.0542;518.72272;0.12978;518.72272;0.162;518.72272;0.23091;518.72272;0.11068
519.19242;0.02443;519.19242;0.05288;519.19242;0.12717;519.19242;0.15805;519.19242;0.22629;519.19242;0.10841
519.66216;0.02411;519.66216;0.05199;519.66216;0.12528;519.66216;0.15541;519.66216;0.22272;519.66216;0.1065
520.13194;0.0234;520.13194;0.05069;520.13194;0.12353;520.13194;0.15326;520.13194;0.21928;520.13194;0.10502
520.60175;0.02329;520.60175;0.05037;520.60175;0.12192;520.60175;0.15147;520.60175;0.21641;520.60175;0.10395
521.0716;0.02304;521.0716;0.04989;521.0716;0.11958;521.0716;0.14853;521.0716;0.21295;521.0716;0.10264
521.54149;0.02244;521.54149;0.04901;521.54149;0.11812;521.54149;0.14644;521.54149;0.2096;521.54149;0.1007
522.01141;0.02211;522.01141;0.04808;522.01141;0.11601;522.01141;0.14387;522.01141;0.20563;522.01141;0.09837
522.48137;0.02126;522.48137;0.04671;522.48137;0.11338;522.48137;0.14108;522.48137;0.20178;522.48137;0.09583
522.95137;0.02088;522.95137;0.04584;522.95137;0.11127;522.95137;0.1388;522.95137;0.19841;522.95137;0.09437
523.4214;0.02089;523.4214;0.0453;523.4214;0.10946;523.4214;0.13609;523.4214;0.19487;523.4214;0.09328
523.89147;0.02064;523.89147;0.04442;523.89147;0.10746;523.89147;0.13366;523.89147;0.19151;523.89147;0.09165
524.36158;0.02021;524.36158;0.04423;524.36158;0.10596;524.36158;0.13163;524.36158;0.18832;524.36158;0.09014
524.83172;0.01986;524.83172;0.04337;524.83172;0.10402;524.83172;0.12943;524.83172;0.18562;524.83172;0.08857
525.3019;0.01939;525.3019;0.04271;525.3019;0.10243;525.3019;0.12722;525.3019;0.18225;525.3019;0.08728
525.77212;0.01923;525.77212;0.04226;525.77212;0.10063;525.77212;0.12475;525.77212;0.17942;525.77212;0.08627
526.24238;0.01959;526.24238;0.04195;526.24238;0.09936;526.24238;0.12345;526.24238;0.17664;526.24238;0.08582
526.71267;0.01943;526.71267;0.04109;526.71267;0.09766;526.71267;0.12121;526.71267;0.17324;526.71267;0.08417
527.183;0.01902;527.183;0.04045;527.183;0.09613;527.183;0.11883;527.183;0.17017;527.183;0.08262
527.65337;0.0179;527.65337;0.03925;527.65337;0.09365;527.65337;0.11614;527.65337;0.1671;527.65337;0.0809
528.12377;0.01722;528.12377;0.03776;528.12377;0.09149;528.12377;0.11385;528.12377;0.16375;528.12377;0.07888
528.59421;0.01704;528.59421;0.03689;528.59421;0.08957;528.59421;0.11192;528.59421;0.16068;528.59421;0.07731
529.06469;0.01698;529.06469;0.03661;529.06469;0.08835;529.06469;0.11005;529.06469;0.15805;529.06469;0.07653
529.53521;0.01619;529.53521;0.03583;529.53521;0.0866;529.53521;0.10754;529.53521;0.15522;529.53521;0.07471
530.00576;0.0159;530.00576;0.03508;530.00576;0.08534;530.00576;0.10596;530.00576;0.15232;530.00576;0.07355
530.47635;0.01548;530.47635;0.03475;530.47635;0.08433;530.47635;0.10416;530.47635;0.15016;530.47635;0.07267
530.94698;0.01493;530.94698;0.03416;530.94698;0.08235;530.94698;0.10176;530.94698;0.14729;530.94698;0.07105
531.41764;0.01441;531.41764;0.03347;531.41764;0.08019;531.41764;0.09973;531.41764;0.14425;531.41764;0.07008
531.88835;0.01428;531.88835;0.03296;531.88835;0.07861;531.88835;0.09761;531.88835;0.14147;531.88835;0.0687
532.35909;0.01399;532.35909;0.03226;532.35909;0.07706;532.35909;0.09556;532.35909;0.13909;532.35909;0.06737
532.82986;0.01396;532.82986;0.03187;532.82986;0.07592;532.82986;0.09426;532.82986;0.13658;532.82986;0.0661
533.30068;0.01411;533.30068;0.03153;533.30068;0.07504;533.30068;0.09301;533.30068;0.1339;533.30068;0.06539
533.77153;0.01387;533.77153;0.03109;533.77153;0.07355;533.77153;0.09092;533.77153;0.13156;533.77153;0.06407
534.24242;0.01338;534.24242;0.03007;534.24242;0.07193;534.24242;0.08951;534.24242;0.12954;534.24242;0.06288
534.71335;0.013;534.71335;0.02953;534.71335;0.07061;534.71335;0.08812;534.71335;0.12725;534.71335;0.0614
535.18432;0.01261;535.18432;0.02876;535.18432;0.06897;535.18432;0.08587;535.18432;0.12447;535.18432;0.06016
535.65532;0.01197;535.65532;0.02822;535.65532;0.06774;535.65532;0.08417;535.65532;0.1218;535.65532;0.05928
536.12636;0.01202;536.12636;0.02778;536.12636;0.06674;536.12636;0.0829;536.12636;0.11953;536.12636;0.05837
536.59744;0.01211;536.59744;0.02777;536.59744;0.06554;536.59744;0.08134;536.59744;0.11739;536.59744;0.05731
537.06856;0.01183;537.06856;0.0268;537.06856;0.06426;537.06856;0.07958;537.06856;0.1153;537.06856;0.05641
537.53972;0.01169;537.53972;0.02652;537.53972;0.06295;537.53972;0.07832;537.53972;0.11326;537.53972;0.0556
538.01091;0.01197;538.01091;0.02571;538.01091;0.06146;538.01091;0.07671;538.01091;0.11175;538.01091;0.0547
538.48214;0.01198;538.48214;0.02534;538.48214;0.06078;538.48214;0.07549;538.48214;0.10925;538.48214;0.05393
538.95341;0.01183;538.95341;0.02487;538.95341;0.05964;538.95341;0.07399;538.95341;0.10747;538.95341;0.05272
539.42471;0.01101;539.42471;0.02432;539.42471;0.05848;539.42471;0.07257;539.42471;0.10529;539.42471;0.05127
539.89606;0.01041;539.89606;0.02391;539.89606;0.0573;539.89606;0.07083;539.89606;0.1031;539.89606;0.04996
540.36744;0.01002;540.36744;0.02379;540.36744;0.05611;540.36744;0.06959;540.36744;0.10172;540.36744;0.04967
540.83886;0.01022;540.83886;0.0234;540.83886;0.05546;540.83886;0.06856;540.83886;0.09971;540.83886;0.04942
541.31032;0.00952;541.31032;0.02281;541.31032;0.05379;541.31032;0.06705;541.31032;0.09754;541.31032;0.04853
541.78182;0.00946;541.78182;0.02274;541.78182;0.05234;541.78182;0.06549;541.78182;0.09567;541.78182;0.04721
542.25336;0.0091;542.25336;0.0223;542.25336;0.05096;542.25336;0.06344;542.25336;0.09354;542.25336;0.04585
542.72493;0.00904;542.72493;0.02173;542.72493;0.05013;542.72493;0.06226;542.72493;0.09184;542.72493;0.04448
543.19654;0.00834;543.19654;0.02079;543.19654;0.04851;543.19654;0.06088;543.19654;0.08948;543.19654;0.04333
543.66819;0.0084;543.66819;0.02036;543.66819;0.0476;543.66819;0.05999;543.66819;0.0879;543.66819;0.04308
544.13988;0.00813;544.13988;0.01947;544.13988;0.04645;544.13988;0.05832;544.13988;0.08568;544.13988;0.04221
544.61161;0.00789;544.61161;0.0189;544.61161;0.04589;544.61161;0.05722;544.61161;0.08416;544.61161;0.0414
545.08337;0.00757;545.08337;0.0183;545.08337;0.04531;545.08337;0.05629;545.08337;0.0826;545.08337;0.04028
545.55518;0.00751;545.55518;0.01829;545.55518;0.04453;545.55518;0.05533;545.55518;0.08133;545.55518;0.03955
546.02702;0.00766;546.02702;0.01841;546.02702;0.04389;546.02702;0.05479;546.02702;0.07987;546.02702;0.03901
546.4989;0.00768;546.4989;0.01837;546.4989;0.043;546.4989;0.05375;546.4989;0.0787;546.4989;0.03833
546.97082;0.00722;546.97082;0.01764;546.97082;0.04173;546.97082;0.05185;546.97082;0.07625;546.97082;0.03753
547.44278;0.007;547.44278;0.01734;547.44278;0.04095;547.44278;0.05071;547.44278;0.07468;547.44278;0.0372
